direction,session_id,quality,start_15,start_16,start_17,start_18,start_19,start_20,start_21,end_15,end_16,end_17,end_18,end_19,end_20,end_21
up,20260716_104941,0.76,0.228587,0.207351,0.132785,1.258080,-0.010702,-0.166760,0.148113,-2.466341,0.568831,0.083123,0.896360,0.019055,0.373045,0.148592
forward,20260716_104941,0.83,-2.469877,0.433937,0.083230,0.896073,0.018180,0.380200,0.148532,-0.726987,0.089247,0.143871,0.660103,0.004650,-0.038697,0.149072
back,20260716_104941,0.99,-0.608595,0.065266,0.131203,0.646369,-0.008269,-0.040830,0.148485,0.763407,0.396342,-0.100679,-0.753964,-0.234471,0.003416,0.138298
right,20260716_104941,0.99,0.787052,0.393730,-0.063588,-0.753580,-0.234867,0.004135,0.138849,-0.505674,0.216124,-1.026293,-0.203612,-0.452428,0.296094,0.140251
left,20260716_104941,0.95,-0.540632,0.222152,-1.087233,-0.203816,-0.454658,0.297329,0.140191,-0.060400,0.626739,0.928298,0.424110,-0.452896,0.020781,0.139904
right,20260716_104941,0.61,0.076040,0.424973,1.249643,0.185516,-0.451638,0.026521,0.126853,-0.334839,0.524394,-0.957995,-0.388720,-0.459991,0.080965,-0.101530
down,20260716_104941,0.89,-0.343408,0.570150,-1.006963,-0.439629,-0.463538,0.082511,-0.101051,0.165119,0.342425,-0.407895,1.410891,-0.430282,-0.308510,-0.099936
left,20260716_104941,0.62,0.131299,0.333269,-0.408974,1.410663,-0.422468,-0.193006,-0.099145,-0.113131,0.965425,1.056505,0.976978,-0.627842,-0.310308,-0.003607
forward,20260716_104941,0.78,-0.061911,0.828014,1.094399,0.856285,-0.372410,-0.272066,0.082847,-0.965845,0.061431,-0.061551,0.935896,-0.139964,0.100488,0.073056
back,20260716_104941,0.84,-0.842431,0.064379,0.055295,0.932792,-0.139904,0.088480,0.082320,0.821327,0.405223,-0.052311,-0.870834,-0.275374,0.194336,0.082511
up,20260716_104941,0.95,0.744196,0.373321,-0.062342,-0.828062,-0.274966,0.120633,0.082392,-2.527905,0.590954,0.172741,0.857807,0.042304,0.267272,0.074782
forward,20260716_104941,1.00,-2.132641,0.726604,-0.185156,0.602267,-0.215920,0.004782,0.137926,-0.740218,0.202018,-0.052012,0.816737,-0.208681,-0.059394,0.139436
right,20260716_104941,0.96,-0.732392,0.202006,-0.052551,0.814436,-0.208430,-0.060700,0.139424,-0.425991,0.258895,-0.910358,-0.047470,-0.277686,0.005812,0.002768
back,20260716_104941,0.90,-0.419843,0.260309,-0.888343,-0.047230,-0.275445,0.006028,0.002792,0.708160,0.214434,0.017317,-0.812459,-0.212912,0.117122,0.083410
down,20260716_104941,1.00,0.841856,0.216531,0.056218,-0.892705,-0.213068,0.087760,0.082475,0.199226,0.216855,0.053857,1.368479,-0.119806,-0.157437,0.073439
left,20260716_104941,0.92,0.194828,0.216783,0.053797,1.368095,-0.119651,-0.157641,0.075009,-0.106576,0.609122,0.456647,0.505590,-0.527594,-0.230792,0.074985
up,20260716_104941,0.99,-0.077969,0.567082,0.468535,0.504380,-0.373788,-0.230948,0.074830,-2.549692,0.525724,0.251513,0.975648,0.243975,0.120549,0.081181
# session 20260716_104941 | 60 samples saved | avg quality 0.90 | ended
